,job_level,job_duration_in_current_job_level,person_level,job_duration_in_current_person_level,job_duration_in_current_branch,gender,age,marital_status_maried(Y/N),number_of_dependences,Education_level,GPA,job_duration_as_permanent_worker,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual leave,sick_leaves,Avg_achievement_%,Last_achievement_%,Achievement_above_100%_during3quartal,achievement_target_1,achievement_target_2,achievement_target_3,Employee_type_A,Employee_type_B
0,5,1.42,5,1.42,0.5,0,37,1,2,3,3.75,13.0,14,7,9,1,3,1,79.50666666666667,94.17,1.0,2,1,1,0,0
1,4,1.58,3,1.58,2.0,1,32,0,0,4,3.07,4.0,4,2,2,2,4,1,54.28333333333333,42.97,0.0,1,1,1,1,0
2,4,1.83,3,1.83,1.5,1,32,1,1,4,3.23,4.0,4,3,2,0,2,0,43.01666666666667,44.28,0.0,2,1,1,1,0
3,5,8.0,6,5.0,1.5,1,47,1,3,4,0.0,22.0,22,8,5,11,3,0,74.39,80.93,0.0,2,1,0,1,0
4,4,1.92,3,1.92,0.5,0,35,1,1,3,3.86,6.0,6,6,3,0,3,0,106.37666666666668,109.09,3.0,2,4,1,1,0
5,4,8.0,4,1.5,0.5,1,39,1,0,4,2.86,12.0,13,12,8,0,3,0,44.68333333333334,54.14,0.0,2,1,0,1,0
6,4,1.5,3,1.5,1.5,0,36,1,0,4,0.0,4.0,4,2,2,0,9,0,75.05333333333333,76.51,0.0,2,1,1,0,1
7,4,1.92,3,1.92,1.5,0,35,1,2,3,3.0,3.0,3,2,2,0,3,0,60.04666666666666,64.1,0.0,2,1,1,0,1
8,4,1.5,3,1.5,0.42,1,29,0,0,4,3.53,2.0,2,2,2,0,5,0,33.28,53.56,0.0,3,1,0,1,0
9,4,1.58,3,1.58,0.5,0,34,1,1,4,3.15,7.0,7,6,3,1,7,2,42.156666666666666,46.39,0.0,1,1,1,0,1
10,5,8.0,6,5.0,2.5,0,52,1,2,4,3.16,30.0,30,12,7,12,5,1,66.19333333333333,71.16,0.0,2,1,0,0,0
11,4,2.0,3,2.0,0.5,0,31,1,0,4,3.04,3.0,3,2,2,0,3,0,73.67333333333333,99.65,1.0,3,2,1,0,1
