,Best Performance,job_level,job_duration_in_current_job_level,person_level,job_duration_in_current_person_level,job_duration_in_current_branch,gender,age,marital_status_maried(Y/N),number_of_dependences,Education_level,GPA,job_duration_as_permanent_worker,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual leave,sick_leaves,Avg_achievement_%,Last_achievement_%,Achievement_above_100%_during3quartal,achievement_target_1,achievement_target_2,achievement_target_3,Employee_type_A,Employee_type_B
0,0,5,8.0,6,8.0,0.5,0,56,1,3,4,2.32,30.0,30,9,7,0,8,0,68.85,72.53,0.0,2.0,1.0,1.0,1,0
1,0,4,5.17,4,2.0,1.25,1,41,1,3,4,3.25,15.0,16,7,7,9,3,0,94.81,101.13,3.0,2.0,2.0,1.0,1,0
2,0,4,1.83,3,1.83,1.5,1,40,1,1,5,3.23,15.0,15,9,9,0,6,0,72.82,71.3,0.0,3.0,1.0,0.0,1,0
3,0,4,7.92,4,4.0,0.17,1,36,1,0,3,3.1773,8.0,8,5,5,0,3,0,86.89,90.09,2.0,2.0,2.0,0.0,1,0
4,1,4,1.83,3,1.83,2.08,1,36,1,1,4,3.1773,7.0,7,4,6,11,2,1,95.17,100.72,2.0,1.0,4.0,0.0,1,0
5,1,4,1.75,3,1.75,6.25,1,36,1,2,4,3.1773,6.0,6,1,4,14,12,0,89.30333333333333,87.16,2.0,3.0,1.0,1.0,0,0
6,1,4,1.75,3,1.75,1.33,0,34,0,0,4,3.65,6.0,6,7,5,0,0,2,66.81666666666666,70.43,0.0,2.0,1.0,1.0,0,1
7,0,4,1.75,3,1.75,5.92,1,36,1,0,4,3.1773,6.0,6,1,4,4,10,0,86.0,81.32,2.0,2.0,1.0,1.0,1,0
8,0,4,2.42,3,2.42,1.5,1,33,1,1,3,2.84,6.0,6,3,2,1,8,5,110.43,101.79,3.0,2.0,3.0,0.0,1,0
9,0,4,1.75,3,1.75,1.5,1,32,1,0,4,3.23,5.0,5,3,3,2,5,1,92.12666666666668,92.57,3.0,2.0,2.0,0.0,0,0
10,0,4,1.75,3,1.75,0.67,1,34,1,2,4,3.1773,5.0,5,3,2,1,8,0,105.88,111.04,3.0,2.0,4.0,0.0,0,1
11,0,4,1.42,3,1.42,0.0,1,37,1,0,4,3.1773,5.0,5,3,5,0,0,1,76.04666666666667,79.96,0.0,2.0,1.0,0.0,0,1
12,1,4,1.5,3,1.5,1.5,0,32,1,1,4,3.14,5.0,5,5,4,0,2,0,74.82000000000002,72.36,0.0,2.0,1.0,0.0,0,1
13,0,4,2.0,3,2.0,1.5,1,31,1,0,4,3.1773,5.0,5,4,4,0,8,1,70.49333333333334,72.33,0.0,2.0,1.0,1.0,1,0
14,1,4,1.83,3,1.83,1.5,1,30,1,0,4,3.1773,4.0,4,2,4,0,3,0,98.57,94.5,3.0,2.0,4.0,0.0,1,0
15,0,4,1.67,3,1.67,0.5,1,30,0,0,4,3.01,4.0,4,2,3,2,8,0,119.91666666666669,117.14,3.0,2.0,4.0,1.0,0,1
16,1,4,1.75,3,1.75,1.42,1,34,1,1,4,3.1773,4.0,4,2,4,0,2,0,78.72000000000001,75.49,1.0,4.0,2.0,0.0,0,0
17,0,4,1.33,3,1.33,0.5,0,31,1,1,4,2.89,3.0,3,2,2,0,2,2,55.06999999999999,57.69,0.0,1.0,1.0,0.0,1,0
18,0,4,1.83,3,1.83,1.33,1,29,1,1,4,2.89,3.0,3,3,2,0,2,1,55.35,65.77,0.0,2.0,1.0,1.0,0,1
19,1,4,1.33,3,1.33,0.25,1,29,1,1,4,3.0,2.0,2,3,2,0,5,0,13.0,13.0,0.0,1.0,1.0,1.0,0,1
